id,label,timeset,modularity_class,pageranks,indegree,outdegree,degree,weighted indegree,weighted outdegree,weighted degree,eigencentrality,eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality
Yuen,Yuen,,3,0.00398543,1,1,2,1.322219295,0.477121255,1.79934055,0.121231234,4,0.375,0.472222222,0
Guru Yash,Guru Yash,,5,0.002463467,1,0,1,1.322219295,0,1.322219295,0.084274977,0,0,0,0
Teagan,Teagan,,1,0.003577273,1,1,2,0.477121255,1.322219295,1.79934055,0.151255739,3,0.5,0.611111111,0.5
Fighter,Fighter,,3,0.006429673,1,1,2,0.477121255,1.322219295,1.79934055,0.075141961,1,1,1,21
Referee,Referee,,3,0.003750639,1,0,1,1.322219295,0,1.322219295,0.032951595,0,0,0,0
Kang-Dae,Kang-Dae,,3,0.00398543,2,0,2,2.556302501,0,2.556302501,0.212094944,0,0,0,0
Daya,Daya,,5,0.00430024,2,0,2,1.602059992,0,1.602059992,0.094141536,0,0,0,0
Store guy,Store guy,,2,0.003533073,2,0,2,2.033423755,0,2.033423755,0.034995326,0,0,0,0
Magnus,Magnus,,6,0.002322544,1,0,1,1.255272505,0,1.255272505,0.106089979,0,0,0,0
Abraham,Abraham,,4,0.004432324,2,0,2,2.401400541,0,2.401400541,0.108867278,0,0,0,0
Devi,Devi,,5,0.004284338,1,1,2,0.77815125,1.255272505,2.033423755,0.084274977,1,1,1,0
Presenter,Presenter,,5,0.004284338,2,0,2,2.033423755,0,2.033423755,0.126671023,0,0,0,0
Planner 1,Planner 1,,5,0.006627505,3,1,4,2.380211241,1.255272505,3.635483746,0.195686797,1,1,1,0.333333333
Planner 2,Planner 2,,5,0.005189129,3,0,3,2.857332496,0,2.857332496,0.245360122,0,0,0,0
Amondi,Amondi,,7,0.005085133,3,0,3,2.853698212,0,2.853698212,0.451393593,0,0,0,0
Soo-Jin,Soo-Jin,,3,0.009077099,3,2,5,1.982271234,0.602059992,2.584331226,0.226864079,1,1,1,7
Manendra,Manendra,,5,0.008101612,3,2,5,2.857332497,1.77815125,4.635483747,0.189130505,1,1,1,12.83333333
Sven,Sven,,6,0.002322544,1,0,1,1.176091259,0,1.176091259,0.106089979,0,0,0,0
Reporter,Reporter,,0,0.005415423,2,1,3,1.477121255,0.954242509,2.431363764,0.162170576,3,0.5,0.583333333,20
Steiner,Steiner,,4,0.010772024,3,2,5,3.084576277,1.079181246,4.163757523,0.149806621,1,1,1,36
Lola,Lola,,1,0.002284782,1,0,1,1.146128036,0,1.146128036,0.151255739,0,0,0,0
Sam,Sam,,1,0.005818426,2,1,3,2.158362492,0.77815125,2.936513742,0.415002908,1,1,1,19
Purple Fairy,Purple Fairy,,1,0.004953329,3,0,3,2.987666264,0,2.987666264,0.590960933,0,0,0,0
Widow,Widow,,3,0.006454269,2,2,4,1.857332496,1.5563025,3.413634996,0.27110028,4,0.4375,0.55952381,6
Bar guy,Bar guy,,2,0.004051841,1,1,2,0.77815125,1.079181246,1.857332496,0.066340973,1,1,1,0
Bar guy 2,Bar guy 2,,2,0.00551089,3,0,3,2.033423756,0,2.033423756,0.131791652,0,0,0,0
Thug,Thug,,3,0.008606661,3,2,5,1.857332496,1.556302501,3.413634997,0.423429007,3,0.5,0.611111111,57
Priya,Priya,,5,0.00689254,3,1,4,2.51851394,0.602059991,3.120573931,0.189130505,1,1,1,2
Sergei,Sergei,,4,0.004514617,2,0,2,1.819543935,0,1.819543935,0.150591727,0,0,0,0
Police captain,Police captain,,2,0.002318807,1,0,1,1,0,1,0.030879929,0,0,0,0
Rental Agent,Rental Agent,,2,0.003583966,2,0,2,1.255272505,0,1.255272505,0.294627098,0,0,0,0
Doctor,Doctor,,4,0.005601457,3,0,3,2.209515014,0,2.209515014,0.201487458,0,0,0,0
Makeup artist,Makeup artist,,0,0.002512578,1,0,1,0.954242509,0,0.954242509,0.040939343,0,0,0,0
Mi-Cha,Mi-Cha,,3,0.00404084,2,0,2,1.431363764,0,1.431363764,0.239413515,0,0,0,0
Patron,Patron,,1,0.0092285,1,3,4,0.954242509,1.431363765,2.385606274,0.263747169,1,1,1,54
Grace,Grace,,1,0.006047747,4,0,4,2.686636269,0,2.686636269,0.465399945,0,0,0,0
Green Fairy,Green Fairy,,1,0.004953329,2,1,3,1.255272505,0.954242509,2.209515014,0.415002908,1,1,1,0
Receptionist,Receptionist,,2,0.003583966,2,0,2,1.204119983,0,1.204119983,0.294627098,0,0,0,0
Interviewer,Interviewer,,0,0.002512578,1,0,1,0.903089987,0,0.903089987,0.040939343,0,0,0,0
Bouncer,Bouncer,,3,0.002418727,1,0,1,0.903089987,0,0.903089987,0.121231234,0,0,0,0
