,"oh, dear, I'd be absolutely sure",
,that you hated me,
,,
,and that you didn't,
,want anything to do with me.,
,,
Rajan,"Kala, slow down.",
Kala,So I completely understand,
,,
,if you came here because,
,you don't want to marry me any longer.,
,,
,And you don't have to worry,
,about protecting my feelings--,
,,
Rajan,"Kala, please, just listen.",
,,
,"For me, what happened at the banquet",
,was a part of the story.,
,,
,I'm here because I'm hoping,
,that it's not the end of our story.,
,,
,"For me, I love what happened.",
,,
,I love it because it makes,
,our wedding something special.,
,,
,Everyone else looks at pictures,
,of their wedding,
,,
,and the story is always the same.,
,,
,They have nothing to say.,
,,
,But I imagine telling our children,
,how their beautiful mother,
,,
,took one look at their father,
,and fainted straight away.,
,,
,It is a great twist.,
,,
,You can see why we have to,
,"get married now, can't you?",
,,1
Silas,(Silas) Van Damme.,
,,
,I hear your mother continues to improve.,
,,
Capheus,Yes. The medicine is helping.,
,Thank you.,
,,
Silas,"There's no ""thank you"" necessary.",
,,
,I'm not in the business of charity.,
,,
,"You're thinking,",
,"""What will he have me deliver this time?",
,,
,"Drugs? Weapons? More coconuts?""",
,(chuckles),
,,
,Amondi. How are you?,
Amondi,I'm good.,
,,
Silas,I'd like you to meet someone.,
,,
,This is Capheus.,
Amondi,Hi.,
,,
Capheus,Hello.,
,,
Silas,"Wow! What have you made, my dear?",
,,
Amondi,It's a home of the Little Mermaid.,
Silas,I love it.,
,,
,This is the sort of place I wish I lived.,
,,
Amondi,"Me, too.",
,,
Silas,"Why don't you get your camera,",
,,
,so you can take a picture of it,
,and ask how much it'll cost to build?,
,,
Amondi,Really?,
Silas,It never hurts to ask.,
,,
,"My daughter, Amondi,",
,does not see me as someone to fear.,
,,
,She sees me only as Papa.,
,,
,(sighs),
,,
,She has leukemia.,
,,
,"To combat this, she receives",
,"induction therapy, stem cell therapy,",
,,
,at the World Health Organization Center,
,on the Nakuru Road. You know it?,
,,
,My cars are known to my enemies.,
,,
,The road to Nakuru is long.,
,,
,No one would think to look for her,
,in that pile of shit you call a bus.,
,,
,She's the most important thing,
,"in the world to me, Capheus.",
,,
,Everything I do,
,is to build a life for her.,
,,
,"Every breath I take,",
,I breathe for her.,
,,
,"Without her, my life has no meaning.",
,,
,And if something happens to her...,
,neither will yours.,
,,1
Lawyer 1,Prosecution submits the defendant,
,has violated 356 and 231,
,,
,of the Korean penal code.,
,,
,"We also confirm the interrogation record,",
,signed by the defendant.,
,,
Lawyer 2,"(man) Your Honor, my client",
,"has signed the confession,",
,,
,but wishes to pursue a jury trial,
,for purpose of latitude in sentencing.,
,,
,"In order to properly prepare our case,",
,we ask for the right to post bail.,
,,
Judge,Does the prosecution object?,
Lawyer 1,"Yes, we do, Your Honor.",
,,
,Of the 30 billion won,
,"the defendant stole from investors,",
,,
,most remains unaccounted for.,
,,
,It would be easy for someone with,
,Ms. Bak's connections to flee the country.,
,,
Lawyer 2,"My client has a clean record,",
,and has willingly cooperated--,
,,
Lawyer 1,"Only after the investigation began,",
,"Your Honor,",
,,
,when exposure became inevitable.,
,,
Judge,I concur. Bail is denied.,
,,
,(gavel slams),
,,
,(crowd murmurs),
,,1
Diego,All I'm saying is... guys are talking.,
,,
Will,What guys?,
,,
Diego,Just guys.,
,,
Will,"If someone's got a problem with me,",
,I should know.,
,,
Diego,It'll just piss you off.,
,,
Will,All right. You know what?,
,I don't give a shit anyway.,
,,
Diego,That's your problem.,
,,
,I saw Sobczak's eyes,
,"after your exorcist act,",
,,
,"and if I were you,",
,I'd start giving a shit.,
,,
Will,And what about you?,
,You think I'm crazy?,
,,
Diego,"Oh, yeah. But I like 'em crazy.",
,,
,(laughs),
,,1
,(overlapping chatter),
,,
,(speaking Swahili),
,(overlapping chatter),
,,
Jela,"Wham-bam, there comes our man.",
,,
,"We are locked and loaded, partner!",
,,
,Look at the Rat Van. (laughs),
,,
,Sinking ship. (mocking laugh),
,,
Capheus,"(Capheus) Sorry, Jela.",
,,
,The Van Damn is taken today.,
Jela,What?,
,,
Capheus,Get these people off the bus.,
Jela,Are you crazy?,
,,
Capheus,It is also taken for tomorrow,
,"and the day after,",
,,
,chartered for private use.,
Jela,By who?,
,,
Capheus,Silas Kabaka.,
,,
,He paid a week in advance.,
,,
,Here.,
,,
Jela,You mustn't do this.,
Capheus,I have to.,
,,
,He can get medicine for my mother.,
,,
