Source,Target,pair,Weight
Widow,Githu,Widow Githu,6
Green Fairy,Purple Fairy,Green Fairy Purple Fairy,9
Sam,Dyke 1,Sam Dyke 1,6
Patron,Patron 2,Patron Patron 2,3
Patron,Patron 3,Patron Patron 3,3
Patron,Narrator,Patron Narrator,3
Patron 2,Patron 3,Patron 2 Patron 3,3
Diego,Cop,Diego Cop,3
Diego,Deshawn,Diego Deshawn,9
Diego,Stiles,Diego Stiles,6
Diego,Gang Member,Diego Gang Member,1
Diego,Ludicrous Lincoln,Diego Ludicrous Lincoln,3
Diego,Gang Member 1,Diego Gang Member 1,1
Diego,Clete,Diego Clete,1
Diego,Rental Agent,Diego Rental Agent,1
Diego,Police Officer,Diego Police Officer,1
Deshawn,Nurse,Deshawn Nurse,3
Deshawn,Mike,Deshawn Mike,6
Deshawn,Ludicrous Lincoln,Deshawn Ludicrous Lincoln,3
Deshawn,Clete,Deshawn Clete,1
Nurse,Janet,Nurse Janet,6
Nurse,Metzger,Nurse Metzger,5
Nurse,Stiles,Nurse Stiles,3
Nurse,Sarah,Nurse Sarah,3
Nurse,Nurse 2,Nurse Nurse 2,3
Nurse,Nurse 1,Nurse Nurse 1,3
Mike,Bar guy,Mike Bar guy,6
Mike,Bar guy 2,Mike Bar guy 2,3
Teagan,Janet,Teagan Janet,21
Janet,Metzger,Janet Metzger,17
Metzger,Nurse 2,Metzger Nurse 2,3
Metzger,Neighbor,Metzger Neighbor,1
Reporter,Daniela,Reporter Daniela,9
Daniela,Hernando,Daniela Hernando,84
Daniela,Joaquin,Daniela Joaquin,22
Daniela,Fan,Daniela Fan,1
Rajan,Crowd,Rajan Crowd,6
Rajan,Manendra,Rajan Manendra,3
Rajan,Priya,Rajan Priya,3
Rajan,Planner 1,Rajan Planner 1,10
Rajan,Planner 2,Rajan Planner 2,4
Rajan,Detective 1,Rajan Detective 1,6
Rajan,Detective 2,Rajan Detective 2,5
Devi,Presenter,Devi Presenter,18
Manendra,Planner 1,Manendra Planner 1,6
Manendra,Planner 2,Manendra Planner 2,10
Priya,Aunty Ina,Priya Aunty Ina,4
Hernando,Doctor,Hernando Doctor,3
Hernando,Joaquin,Hernando Joaquin,4
Hernando,Driver,Hernando Driver,1
Hernando,Fan,Hernando Fan,1
Detective,Stiles,Detective Stiles,3
Bar guy,Bar guy 2,Bar guy Bar guy 2,12
Sarah,Mi-Cha,Sarah Mi-Cha,3
Sarah,Psychiatrist,Sarah Psychiatrist,1
Bambie,Shugs,Bambie Shugs,64
Thug,Githu,Thug Githu,12
Thug,Announcer,Thug Announcer,3
Thug,Thug 1,Thug Thug 1,1
Githu,Silas,Githu Silas,6
Githu,Thug 2,Githu Thug 2,1
Announcer,Fighter,Announcer Fighter,3
Fighter,Referee,Fighter Referee,21
Planner 1,Planner 2,Planner 1 Planner 2,18
Guru Yash,Worshipper 1,Guru Yash Worshipper 1,1
Guru Yash,Worshipper 2,Guru Yash Worshipper 2,1
Silas,Amondi,Silas Amondi,14
Gunnar,Musician 1,Gunnar Musician 1,2
Henchman,Mourner,Henchman Mourner,1
Woman 1,Woman 2,Woman 1 Woman 2,1
Woman 2,Woman 3,Woman 2 Woman 3,2
Amondi,Bodyguard,Amondi Bodyguard,1
Lawyer 1,Lawyer 2,Lawyer 1 Lawyer 2,3
Lawyer 1,Judge,Lawyer 1 Judge,2
Lawyer 2,Judge,Lawyer 2 Judge,1
Interviewer,Prison Doctor,Interviewer Prison Doctor,1
Prison Officer,Soo-Jin,Prison Officer Soo-Jin,3
Prison Officer,Prisoner 1,Prison Officer Prisoner 1,1
Prisoner,Soo-Jin,Prisoner Soo-Jin,2
Prisoner,Min-Jung,Prisoner Min-Jung,2
Soo-Jin,Min-Jung,Soo-Jin Min-Jung,2
Soo-Jin,Prisoner 1,Soo-Jin Prisoner 1,2
Grandpa Capheus,Grandma Capheus,Grandpa Capheus Grandma Capheus,2
Grandma Capheus,Elder,Grandma Capheus Elder,2
Yrsa,Magnus,Yrsa Magnus,1
Prisoner 1,Prisoner 2,Prisoner 1 Prisoner 2,1
Prisoner 1,Prisoner Officer,Prisoner 1 Prisoner Officer,1
Young Tough 1,Young Tough 2,Young Tough 1 Young Tough 2,1
Wedding Planner 1,Wedding Planner 2,Wedding Planner 1 Wedding Planner 2,6
Police Officer,Police Captain,Police Officer Police Captain,1
Mourner,Actress,Mourner Actress,1
Detective 1,Detective 2,Detective 1 Detective 2,3
Punk 1,Punk 2,Punk 1 Punk 2,1
Henchman 1,Henchman 2,Henchman 1 Henchman 2,1
Thug 1,Thug 2,Thug 1 Thug 2,1
Worshipper 1,Worshipper 2,Worshipper 1 Worshipper 2,2
Guard,Guard 1,Guard Guard 1,1
